"uf","cod_uf","cod_munic","nome_munic","pop_2020 "
"RJ","33","00100","Angra dos Reis","207.044"
"RJ","33","00159","Aperibé","11.901"
"RJ","33","00209","Araruama","134.293"
"RJ","33","00225","Areal","12.669"
"RJ","33","00233","Armação dos Búzios","34.477"
"RJ","33","00258","Arraial do Cabo","30.593"
"RJ","33","00308","Barra do Piraí","100.764"
"RJ","33","00407","Barra Mansa","184.833"
"RJ","33","00456","Belford Roxo","513.118"
"RJ","33","00506","Bom Jardim","27.616"
"RJ","33","00605","Bom Jesus do Itabapoana","37.203"
"RJ","33","00704","Cabo Frio","230.378"
"RJ","33","00803","Cachoeiras de Macacu","59.303"
"RJ","33","00902","Cambuci","15.514"
"RJ","33","00936","Carapebus","16.586"
"RJ","33","00951","Comendador Levy Gasparian","8.576"
"RJ","33","01009","Campos dos Goytacazes","511.168"
"RJ","33","01108","Cantagalo","20.168"
"RJ","33","01157","Cardoso Moreira","12.821"
"RJ","33","01207","Carmo","19.030"
"RJ","33","01306","Casimiro de Abreu","45.041"
"RJ","33","01405","Conceição de Macabu","23.398"
"RJ","33","01504","Cordeiro","22.041"
"RJ","33","01603","Duas Barras","11.528"
"RJ","33","01702","Duque de Caxias","924.624"
"RJ","33","01801","Engenheiro Paulo de Frontin","14.071"
"RJ","33","01850","Guapimirim","61.388"
"RJ","33","01876","Iguaba Grande","28.837"
"RJ","33","01900","Itaboraí","242.543"
"RJ","33","02007","Itaguaí","134.819"
"RJ","33","02056","Italva","15.299"
"RJ","33","02106","Itaocara","23.222"
"RJ","33","02205","Itaperuna","103.800"
"RJ","33","02254","Itatiaia","32.064"
"RJ","33","02270","Japeri","105.548"
"RJ","33","02304","Laje do Muriaé","7.326"
"RJ","33","02403","Macaé","261.501"
"RJ","33","02452","Macuco","5.623"
"RJ","33","02502","Magé","246.433"
"RJ","33","02601","Mangaratiba","45.220"
"RJ","33","02700","Maricá","164.504"
"RJ","33","02809","Mendes","18.648"
"RJ","33","02858","Mesquita","176.569"
"RJ","33","02908","Miguel Pereira","25.581"
"RJ","33","03005","Miracema","27.154"
"RJ","33","03104","Natividade","15.311"
"RJ","33","03203","Nilópolis","162.693"
"RJ","33","03302","Niterói","515.317"
"RJ","33","03401","Nova Friburgo","191.158"
"RJ","33","03500","Nova Iguaçu","823.302"
"RJ","33","03609","Paracambi","52.683"
"RJ","33","03708","Paraíba do Sul","44.518"
"RJ","33","03807","Paraty","43.680"
"RJ","33","03856","Paty do Alferes","27.858"
"RJ","33","03906","Petrópolis","306.678"
"RJ","33","03955","Pinheiral","25.364"
"RJ","33","04003","Piraí","29.545"
"RJ","33","04102","Porciúncula","18.960"
"RJ","33","04110","Porto Real","19.974"
"RJ","33","04128","Quatis","14.435"
"RJ","33","04144","Queimados","151.335"
"RJ","33","04151","Quissamã","25.126"
"RJ","33","04201","Resende","132.312"
"RJ","33","04300","Rio Bonito","60.573"
"RJ","33","04409","Rio Claro","18.605"
"RJ","33","04508","Rio das Flores","9.344"
"RJ","33","04524","Rio das Ostras","155.193"
"RJ","33","04557","Rio de Janeiro","6.747.815"
"RJ","33","04607","Santa Maria Madalena","10.392"
"RJ","33","04706","Santo Antônio de Pádua","42.594"
"RJ","33","04755","São Francisco de Itabapoana","42.210"
"RJ","33","04805","São Fidélis","38.710"
"RJ","33","04904","São Gonçalo","1.091.737"
"RJ","33","05000","São João da Barra","36.423"
"RJ","33","05109","São João de Meriti","472.906"
"RJ","33","05133","São José de Ubá","7.206"
"RJ","33","05158","São José do Vale do Rio Preto","21.916"
"RJ","33","05208","São Pedro da Aldeia","106.049"
"RJ","33","05307","São Sebastião do Alto","9.387"
"RJ","33","05406","Sapucaia","18.249"
"RJ","33","05505","Saquarema","90.583"
"RJ","33","05554","Seropédica","83.092"
"RJ","33","05604","Silva Jardim","21.774"
"RJ","33","05703","Sumidouro","15.667"
"RJ","33","05752","Tanguá","34.610"
"RJ","33","05802","Teresópolis","184.240"
"RJ","33","05901","Trajano de Moraes","10.640"
"RJ","33","06008","Três Rios","82.142"
"RJ","33","06107","Valença","76.869"
"RJ","33","06156","Varre-Sai","11.106"
"RJ","33","06206","Vassouras","37.083"
"RJ","33","06305","Volta Redonda","273.988"
